Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,R2,Implied Contam.
One-Class SVM,0.98868,0.0911664779161948,0.6338582677165354,0.1594059405940594,0.9470193937850244,-5.696378571125845,0.011773333333333334
One-Class SVM (SGD),0.9924733333333333,0.007874015748031496,0.027559055118110236,0.012248468941382326,0.13894430789943413,-3.4524213232044048,0.005926666666666667
Isolation Forest,0.9544466666666667,0.030540887683744827,0.84251968503937,0.05894504889133728,0.9488520508901634,-25.94720540430088,0.046713333333333336
Local Outlier Factor,0.92262,0.0034986442753433046,0.15748031496062992,0.006845212629417301,0.505226619437786,-44.77436164608815,0.07622
Robust Covariance,0.58562,0.0037517435987878983,0.9212598425196851,0.007473053892215569,0.9250478316510972,-244.12768129886285,0.41580666666666666
