,Fit Time (s),Predict Time (s),Total (s)
One-Class SVM,253.7679,116.5942,370.3621
One-Class SVM (SGD),0.1532,0.0159,0.1692
Isolation Forest,0.2749,0.7999,1.0748
Local Outlier Factor,25.3904,0.0016,25.392
Robust Covariance,16.0385,0.0726,16.111
Autoencoder (GPU),5.1878,0.064,5.2518
Logistic Regression,0.3371,0.016,0.3531
