,Fit Time (s),Predict Time (s),Total (s)
One-Class SVM,7.6978,6.1509,13.8487
One-Class SVM (SGD),0.0158,0.0,0.0158
Isolation Forest,0.1588,0.1273,0.2861
Local Outlier Factor,3.4339,0.0,3.4339
Robust Covariance,2.6134,0.016,2.6294
