Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,R2,Implied Contam.
One-Class SVM,0.9984333333333333,0.0,0.0,0.0,0.9795505866993042,-0.001569124962440993,0.0
One-Class SVM (SGD),0.9982333333333333,0.0,0.0,0.0,0.01846154720409492,-0.12942901325551848,0.0002
Isolation Forest,0.9491666666666667,0.026282051282051282,0.8723404255319149,0.05102675793403858,0.9809261459975237,-31.497721607823884,0.052
Local Outlier Factor,0.9436,0.0065986802639472104,0.23404255319148937,0.012835472578763127,0.769618501609969,-35.05648849864787,0.05556666666666667
Robust Covariance,0.5884666666666667,0.0035521110842011787,0.9361702127659575,0.00707736850571015,0.9388680564089413,-262.0930301443893,0.4129
Autoencoder (GPU),0.9489666666666666,0.026785714285714284,0.8936170212765957,0.05201238390092879,0.9717919776444087,-31.625581496116965,0.05226666666666667
Logistic Regression,0.9866666666666667,0.0859375,0.7857142857142857,0.15492957746478872,0.9208133286699947,-7.584782677816282,0.014222222222222223
