Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,R2,Implied Contam.
One-Class SVM,0.9872521739130434,0.08602150537634409,0.6751918158567775,0.15260115606936417,0.9430254216556002,-6.511490761916742,0.013343478260869564
One-Class SVM (SGD),0.9966782608695652,0.06928406466512702,0.07672634271099744,0.07281553398058252,0.3667668707435354,-0.9572915900765318,0.001882608695652174
Isolation Forest,0.9505565217391304,0.028267033250279235,0.8414322250639387,0.054696591853699086,0.9467261474496637,-28.133926652290995,0.05060434782608696
Local Outlier Factor,0.9214434782608696,0.003259708874276401,0.1483375959079284,0.0063792344918609765,0.5098949544148326,-45.28840896531777,0.07736086956521739
Robust Covariance,0.5724913043478261,0.0036188545362392296,0.9130434782608695,0.007209135610504741,0.9191267097800275,-250.90394002284705,0.42891304347826087
Autoencoder (GPU),0.9147260869565217,0.01645200241497283,0.8363171355498721,0.03226920609858391,0.9432498273864189,-49.246544445250024,0.08641739130434782
Logistic Regression,0.9719855072463768,0.051826258637709774,0.8974358974358975,0.09799346710219319,0.9770360642491647,-15.54942959764178,0.029362318840579712
