,Fit Time (s),Predict Time (s),Total (s)
One-Class SVM,765.4168,359.254,1124.6708
One-Class SVM (SGD),0.4272,0.0351,0.4623
Isolation Forest,0.5854,1.5954,2.1808
Local Outlier Factor,63.4713,0.0,63.4713
Robust Covariance,30.9529,0.0786,31.0315
Autoencoder (GPU),7.7053,0.0913,7.7966
Logistic Regression,0.6458,0.0215,0.6673
