,Fit Time (s),Predict Time (s),Total (s)
One-Class SVM,70.4439,36.6813,107.1252
One-Class SVM (SGD),0.0628,0.0098,0.0725
Isolation Forest,0.1658,0.3057,0.4715
Local Outlier Factor,5.9179,0.0,5.9179
Robust Covariance,6.5892,0.0311,6.6203
Autoencoder (GPU),2.6039,0.0238,2.6277
Logistic Regression,0.1667,0.0061,0.1729
