Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,R2,Implied Contam.
One-Class SVM,0.9929125,0.10144927536231885,0.4409448818897638,0.16494845360824742,0.9634500478170513,-3.4716656984301153,0.0069
One-Class SVM (SGD),0.9934875,0.0,0.0,0.0,0.05041201726638676,-3.1088850597567728,0.004925
Isolation Forest,0.9560125,0.029672767609539658,0.84251968503937,0.05732654701312617,0.9611903581975757,-26.752718858510715,0.045075
Local Outlier Factor,0.927675,0.004379050621825188,0.1968503937007874,0.008567511994516792,0.5480694697320185,-44.631495116607844,0.0713625
Robust Covariance,0.6108375,0.003776966903527303,0.9291338582677166,0.007523351079090822,0.8882391150281782,-244.531513561243,0.390525
